abc.png,Abc,Spain,Europe,249539,1903,black
as.png,As,Spain,Europe,211553,1967,red
elmundo.png,El Mundo,Spain,Europe,284901,1989,black
elpaís.png,El País,Spain,Europe,370080,1976,black
lavanguardia.png,La Vanguardia,Spain,Europe,200370,1881,blue
marca.png,Marca,Spain,Europe,274581,1938,red
aftonbladet.png,Aftonbladet,Sweden,Europe,320200,1830,yellow
dagensnyheter.png,Dagens Nyheter,Sweden,Europe,298200,1864,black
expresseninklusivegtochkvaellsposten.png,Expressen inklusive GT och Kvällsposten,Sweden,Europe,286500,1944,red
svenskadagbladet.png,Svenska Dagbladet,Sweden,Europe,192800,1884,black
azgesamtausgabe.png,az Gesamtausgabe ,Switzerland,Europe,188232,1996,black
bernerzeitungbz.png,Berner Zeitung BZ ,Switzerland,Europe,183647,1979,black
blick.png,Blick,Switzerland,Europe,215761,1959,red
matindimanche-le.png,"Matin Dimanche, Le",Switzerland,Europe,188053,1893,orange
sonntags-blick.png,Sonntags-Blick,Switzerland,Europe,238178,1969,red
sonntagszeitung.png,SonntagsZeitung,Switzerland,Europe,188658,1987,blue
tages-anzeiger.png,Tages-Anzeiger ,Switzerland,Europe,205398,1893,black
dailyexpress.png,Daily Express,UK,Europe,659064,1900,black
dailymirror.png,Daily Mirror,UK,Europe,1220566,1903,red
dailystar.png,Daily Star,UK,Europe,810106,1978,red
dailystarsunday.png,Daily Star Sunday,UK,Europe,354022,2002,red
financialtimes.png,Financial Times,UK,Europe,391657,1888,black
newsoftheworld.png,News of the World,UK,Europe,2868928,1843,red
sundayexpress.png,Sunday Express,UK,Europe,565365,1918,red
sundaymail.png,Sunday Mail,UK,Europe,387875,1982,red
sundaymirror.png,Sunday Mirror,UK,Europe,1127074,1915,red
sundaypost.png,Sunday Post,UK,Europe,327877,1914,black
thedailymail.png,The Daily Mail,UK,Europe,2107477,1896,black
thedailytelegraph.png,The Daily Telegraph,UK,Europe,672873,1855,black
thedailymirror-dailyrecord.png,The Daily Mirror / Daily Record,UK,Europe,1542704,1903,red
theguardian.png,The Guardian,UK,Europe,282002,1821,blue
theindependent.png,The Independent,UK,Europe,183973,1986,black
themailonsunday.png,The Mail on Sunday,UK,Europe,1970245,1982,black
theobserver.png,The Observer,UK,Europe,326081,1791,blue
thepeople.png,The People,UK,Europe,524211,1881,red
thesun.png,The Sun,UK,Europe,2953644,1964,red
thesundaytelegraph.png,The Sunday Telegraph,UK,Europe,508603,1961,black
thetimes.png,The Times,UK,Europe,493226,1785,black
sundayworld.png,Sunday World,ROI,Europe,259575,1970,red
thewallstreetjournal.png,The Wall Street Journal,USA,North America,2076707,1889,black
usatoday.png,USA Today,USA,North America,1831814,1982,blue
thenewyorktimes.png,The New York Times,USA,North America,913850,1851,black
thewashingtonpost.png,The Washington Post,USA,North America,562108,1877,black
theglobeandmail.png,The Globe and Mail,Canada,North America,306706,1844,red
zaman.png,Zaman,Turkey,Europe,774166,1986,blue
